,%,aa,b,ba,fc,ny,qy,sd,sv,x
%,0.6860572483841182,0.020710059171597635,0.03108288770053476,0.009966777408637873,0.010101010101010102,0.0,0.04044117647058824,0.027687607408821844,0.017813267813267815,0.00013915947676036738
aa,0.0110803324099723,0.6183431952662722,0.12366310160427807,0.04318936877076412,0.04040404040404041,0.35,0.007352941176470588,0.006110368531602062,0.009213759213759214,0.0
b,0.03693444136657433,0.09467455621301775,0.7723930481283422,0.016611295681063124,0.020202020202020204,0.25,0.0,0.0007637960664502578,0.0006142506142506142,0.0012524352908433063
ba,0.002770083102493075,0.05325443786982249,0.0053475935828877,0.8172757475083057,0.010101010101010102,0.0,0.0,0.0032461332824135956,0.01167076167076167,0.0
fc,0.0018467220683287165,0.0,0.005681818181818182,0.013289036544850499,0.8787878787878788,0.0,0.0,0.00171854114951308,0.0006142506142506142,0.00013915947676036738
ny,0.0018467220683287165,0.06804733727810651,0.05748663101604278,0.0,0.0,0.4,0.0,0.00019094901661256445,0.0,0.0
qy,0.009233610341643583,0.005917159763313609,0.0016711229946524064,0.0,0.0,0.0,0.8345588235294118,0.012602635096429253,0.019656019656019656,0.0
sd,0.1883656509695291,0.08875739644970414,0.001336898395721925,0.026578073089700997,0.04040404040404041,0.0,0.07720588235294118,0.8243269047164407,0.3249385749385749,0.0006957973838018369
sv,0.061865189289012,0.05029585798816568,0.00033422459893048126,0.07308970099667775,0.0,0.0,0.04044117647058824,0.12316211571510406,0.6154791154791155,0.0
x,0.0,0.0,0.001002673796791444,0.0,0.0,0.0,0.0,0.00019094901661256445,0.0,0.9977734483718341
