,%,aa,b,ba,fc,ny,qy,sd,sv,x
%,0.7192642787996127,0.006776379477250726,0.09002904162633107,0.002904162633107454,0.000968054211035818,0.0,0.010648596321393998,0.1403678606001936,0.028073572120038724,0.000968054211035818
aa,0.018072289156626505,0.3147590361445783,0.5572289156626506,0.01957831325301205,0.006024096385542169,0.010542168674698794,0.0030120481927710845,0.04819277108433735,0.022590361445783132,0.0
b,0.016604400166044003,0.013283520132835201,0.9593192195931922,0.0020755500207555004,0.0008302200083022001,0.0020755500207555004,0.0,0.0016604400166044002,0.00041511000415110004,0.0037359900373599006
ba,0.009375,0.05625,0.05,0.76875,0.003125,0.0,0.0,0.053125,0.059375,0.0
fc,0.01652892561983471,0.0,0.14049586776859505,0.03305785123966942,0.71900826446281,0.0,0.0,0.0743801652892562,0.008264462809917356,0.008264462809917356
ny,0.009708737864077669,0.11165048543689321,0.8349514563106796,0.0,0.0,0.038834951456310676,0.0,0.0048543689320388345,0.0,0.0
qy,0.029239766081871343,0.005847953216374269,0.014619883040935672,0.0,0.0,0.0,0.6637426900584795,0.19298245614035087,0.0935672514619883,0.0
sd,0.03982819211245607,0.005857087075361187,0.0007809449433814916,0.0015618898867629833,0.0007809449433814916,0.0,0.004099960952752831,0.8428348301444748,0.10327996876220226,0.0009761811792268645
sv,0.037960339943342775,0.009631728045325779,0.0005665722379603399,0.012464589235127478,0.0,0.0,0.006232294617563739,0.3654390934844193,0.5677053824362607,0.0
x,0.0,0.0,0.0004181767493727349,0.0,0.0,0.0,0.0,0.00013939224979091162,0.0,0.9994424310008364
